AIR_FLOW,CEXREAL,NE,PIM,QFIN,THA,THW,soot
385.0436311,13.44739342,2362.241376,175.2349773,46.37350899,51.90998077,87.30305481,5.162557283
386.8250628,13.58294773,2378.946631,174.8337262,44.92609835,51.89968872,87.45581818,5.142451403
386.1427271,13.7859478,2391.229231,174.5315977,44.34486715,51.85645442,87.6946959,5.099075338
381.628083,14.14743233,2402.964746,172.7065135,40.99038195,51.76914215,87.81382751,5.197352652
357.9940106,14.69199467,2405.799727,165.9416754,37.14064615,51.60918427,88.03127289,5.119004003
346.7487807,15.03356552,2406.744139,160.5191091,34.48601973,51.33504105,88.1426239,4.916083646
342.1495097,14.88548851,2411.391549,158.7925586,34.30452285,51.07307434,88.20484161,4.875091251
341.3108138,14.88548851,2412.563986,158.3805637,34.26304594,50.86237335,87.8527832,4.798269961
341.3888835,14.94224262,2414.90734,158.1303123,34.14766923,50.62761688,87.39446259,5.273468169
341.6175038,14.94224262,2419.137955,157.8985291,34.02584645,50.3700943,86.48612976,5.005332903
342.2934238,14.95394707,2422.119471,158.1003418,33.90046151,50.17311096,85.44519043,5.244454519
340.6596524,15.12436104,2425.595229,157.6654973,33.74070568,49.95317841,84.45896912,5.062387692
342.3827663,15.05640602,2433.776919,157.6035919,33.64566014,49.78555298,83.68916321,5.368032908
342.3134333,15.1020956,2438.225113,157.5725403,33.50343822,49.63577271,83.26295471,5.10379989
341.752114,15.07924938,2441.083968,157.4337558,33.43019325,49.51145935,82.96339417,4.970052011
343.0965994,15.15893745,2445.609149,157.3399952,33.33530165,49.34938812,82.90062714,4.808592526
341.3777257,15.19293594,2449.541206,157.2989105,33.2044841,49.22213364,82.9677124,5.033847137
341.8295941,15.1020956,2452.346333,157.1986746,33.19455681,49.12739182,83.03605652,5.073729572
341.8891375,15.22753048,2457.507893,157.0591793,33.06402958,49.03263646,83.32910647,5.076561654
342.8377548,15.1132288,2458.846386,157.1223602,32.95452353,48.97561646,83.52215576,4.999340695
341.7860965,15.20466232,2464.22109,156.8653917,32.92862849,48.90033722,83.82496643,5.039810134
342.285972,15.17007542,2465.039976,156.7000816,32.95115495,48.77684021,84.08450317,5.101509962
397.8456857,20.63383102,2414.368423,144.8327294,-5.057205052,48.89087677,84.36068726,5.247856517
371.4266667,23.21999931,2373.652767,131.2922701,-5.367399759,47.91531139,84.66317374,7.251537027
358.886672,23.21999931,2322.927341,128.0867321,-20,46.86114502,84.96295166,6.880940712
349.7755374,23.21999931,2284.986571,126.2494841,-6.35798897,45.9830513,85.13272095,2.352097959
339.0946572,23.21999931,2242.085056,124.1994414,-2.158662984,45.31748962,85.37405396,1.425682279
323.6698497,23.21999931,2195.339008,121.4480984,1.310211283,44.85419083,85.55683899,0.646308179
290.8701394,21.02541161,2196.953304,130.3493833,25.39822162,44.58336639,85.70810699,0.366059682
563.6726602,5.671458721,2320.354231,199.7001358,105.5963426,45.46414948,85.67926025,0.304045517
353.3426092,15.3871212,2287.998125,181.8634453,37.06955329,46.56043243,85.5615921,1.100191331
